  0%|                                                                            | 0/1233 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                          
{'loss': 0.3543, 'learning_rate': 2.7027027027027028e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -66.93944549560547, 'logps/chosen': -22.629165649414062, 'logits/rejected': -2.346561908721924, 'logits/chosen': -2.2989933490753174, 'epoch': 0.02}
{'loss': 0.37, 'learning_rate': 5.4054054054054056e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.6712760925293, 'logps/chosen': -23.616867065429688, 'logits/rejected': -2.3750104904174805, 'logits/chosen': -2.328691244125366, 'epoch': 0.05}
{'loss': 0.3419, 'learning_rate': 8.108108108108108e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -66.46466827392578, 'logps/chosen': -23.812143325805664, 'logits/rejected': -2.364009141921997, 'logits/chosen': -2.3160500526428223, 'epoch': 0.07}
{'loss': 0.3743, 'learning_rate': 9.999844754987455e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.28477096557617, 'logps/chosen': -23.213973999023438, 'logits/rejected': -2.357731342315674, 'logits/chosen': -2.3141582012176514, 'epoch': 0.1}
{'loss': 0.3557, 'learning_rate': 9.99708511183087e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -61.31709671020508, 'logps/chosen': -21.783863067626953, 'logits/rejected': -2.3583545684814453, 'logits/chosen': -2.3153140544891357, 'epoch': 0.12}
{'loss': 0.3832, 'learning_rate': 9.990877771116587e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.47248458862305, 'logps/chosen': -21.852367401123047, 'logits/rejected': -2.3614516258239746, 'logits/chosen': -2.31794810295105, 'epoch': 0.15}
{'loss': 0.35, 'learning_rate': 9.98122701554801e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -59.2048454284668, 'logps/chosen': -21.128358840942383, 'logits/rejected': -2.378610134124756, 'logits/chosen': -2.335446834564209, 'epoch': 0.17}
{'loss': 0.3729, 'learning_rate': 9.968139503584152e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.77579879760742, 'logps/chosen': -22.006938934326172, 'logits/rejected': -2.341892957687378, 'logits/chosen': -2.2965826988220215, 'epoch': 0.19}
{'loss': 0.3553, 'learning_rate': 9.951624264845687e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.80161666870117, 'logps/chosen': -23.581741333007812, 'logits/rejected': -2.353437662124634, 'logits/chosen': -2.3082170486450195, 'epoch': 0.22}
{'loss': 0.3549, 'learning_rate': 9.931692693885035e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.85935592651367, 'logps/chosen': -24.280506134033203, 'logits/rejected': -2.385347843170166, 'logits/chosen': -2.3410184383392334, 'epoch': 0.24}
{'loss': 0.3645, 'learning_rate': 9.908358542324792e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.6595344543457, 'logps/chosen': -24.23111343383789, 'logits/rejected': -2.3431077003479004, 'logits/chosen': -2.2963502407073975, 'epoch': 0.27}
{'loss': 0.3596, 'learning_rate': 9.881637909369902e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.70287322998047, 'logps/chosen': -22.786569595336914, 'logits/rejected': -2.3627381324768066, 'logits/chosen': -2.3197968006134033, 'epoch': 0.29}
{'loss': 0.3622, 'learning_rate': 9.85154923070015e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.22700881958008, 'logps/chosen': -22.20008087158203, 'logits/rejected': -2.369938373565674, 'logits/chosen': -2.3256332874298096, 'epoch': 0.32}
{'loss': 0.3624, 'learning_rate': 9.818113265750612e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.17324829101562, 'logps/chosen': -24.089262008666992, 'logits/rejected': -2.3560376167297363, 'logits/chosen': -2.3130054473876953, 'epoch': 0.34}
{'loss': 0.3534, 'learning_rate': 9.781353083388866e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.9858283996582, 'logps/chosen': -25.53569793701172, 'logits/rejected': -2.3537747859954834, 'logits/chosen': -2.306579351425171, 'epoch': 0.36}
{'loss': 0.3565, 'learning_rate': 9.741294045998803e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.0980224609375, 'logps/chosen': -23.42205238342285, 'logits/rejected': -2.3547377586364746, 'logits/chosen': -2.3121466636657715, 'epoch': 0.39}
{'loss': 0.3736, 'learning_rate': 9.697963791982065e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.795196533203125, 'logps/chosen': -22.13882827758789, 'logits/rejected': -2.3602304458618164, 'logits/chosen': -2.3133137226104736, 'epoch': 0.41}
{'loss': 0.3501, 'learning_rate': 9.651392216689165e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.82851028442383, 'logps/chosen': -23.783496856689453, 'logits/rejected': -2.3712172508239746, 'logits/chosen': -2.325199604034424, 'epoch': 0.44}
{'loss': 0.3467, 'learning_rate': 9.601611451793429e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.480445861816406, 'logps/chosen': -23.125213623046875, 'logits/rejected': -2.365518093109131, 'logits/chosen': -2.321427345275879, 'epoch': 0.46}
{'loss': 0.3505, 'learning_rate': 9.548655843122014e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -67.46879577636719, 'logps/chosen': -24.266124725341797, 'logits/rejected': -2.3772664070129395, 'logits/chosen': -2.3283531665802, 'epoch': 0.49}
{'loss': 0.3588, 'learning_rate': 9.492561926959295e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.89091110229492, 'logps/chosen': -23.613826751708984, 'logits/rejected': -2.3568620681762695, 'logits/chosen': -2.3128693103790283, 'epoch': 0.51}
{'loss': 0.3605, 'learning_rate': 9.433368404838953e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.309913635253906, 'logps/chosen': -23.173128128051758, 'logits/rejected': -2.3385231494903564, 'logits/chosen': -2.2960381507873535, 'epoch': 0.53}
{'loss': 0.3621, 'learning_rate': 9.371116116842169e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.43212890625, 'logps/chosen': -24.875850677490234, 'logits/rejected': -2.356363296508789, 'logits/chosen': -2.3141884803771973, 'epoch': 0.56}
{'loss': 0.3619, 'learning_rate': 9.305848013420352e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.30287170410156, 'logps/chosen': -22.695350646972656, 'logits/rejected': -2.3525633811950684, 'logits/chosen': -2.308093547821045, 'epoch': 0.58}
{'loss': 0.3696, 'learning_rate': 9.237609125761831e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.61145782470703, 'logps/chosen': -22.852388381958008, 'logits/rejected': -2.3686327934265137, 'logits/chosen': -2.3250536918640137, 'epoch': 0.61}
{'loss': 0.3602, 'learning_rate': 9.166446534722959e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.668609619140625, 'logps/chosen': -23.967300415039062, 'logits/rejected': -2.345845937728882, 'logits/chosen': -2.301064968109131, 'epoch': 0.63}
{'loss': 0.3742, 'learning_rate': 9.092409338345058e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.164764404296875, 'logps/chosen': -24.593055725097656, 'logits/rejected': -2.355160713195801, 'logits/chosen': -2.310481309890747, 'epoch': 0.66}
{'loss': 0.3555, 'learning_rate': 9.015548617979642e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -65.06043243408203, 'logps/chosen': -25.079675674438477, 'logits/rejected': -2.3697614669799805, 'logits/chosen': -2.3235459327697754, 'epoch': 0.68}
{'loss': 0.3639, 'learning_rate': 8.93591740304525e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.4266357421875, 'logps/chosen': -24.79791259765625, 'logits/rejected': -2.378467082977295, 'logits/chosen': -2.332554817199707, 'epoch': 0.7}
{'loss': 0.3491, 'learning_rate': 8.85357063444025e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.29792022705078, 'logps/chosen': -25.870519638061523, 'logits/rejected': -2.3628671169281006, 'logits/chosen': -2.320338726043701, 'epoch': 0.73}
{'loss': 0.3668, 'learning_rate': 8.768565126636805e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.16493225097656, 'logps/chosen': -24.773935317993164, 'logits/rejected': -2.338186740875244, 'logits/chosen': -2.2943129539489746, 'epoch': 0.75}
{'loss': 0.363, 'learning_rate': 8.680959528482213e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.39483642578125, 'logps/chosen': -24.268898010253906, 'logits/rejected': -2.3588929176330566, 'logits/chosen': -2.3148906230926514, 'epoch': 0.78}
{'loss': 0.3583, 'learning_rate': 8.59081428273461e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.514732360839844, 'logps/chosen': -22.606225967407227, 'logits/rejected': -2.3530266284942627, 'logits/chosen': -2.3100357055664062, 'epoch': 0.8}
{'loss': 0.3592, 'learning_rate': 8.49819158436099e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.579620361328125, 'logps/chosen': -24.23526382446289, 'logits/rejected': -2.339475154876709, 'logits/chosen': -2.2943272590637207, 'epoch': 0.83}
{'loss': 0.3947, 'learning_rate': 8.403155337626305e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -65.08500671386719, 'logps/chosen': -24.14098358154297, 'logits/rejected': -2.3581347465515137, 'logits/chosen': -2.3135080337524414, 'epoch': 0.85}
{'loss': 0.3674, 'learning_rate': 8.305771112003242e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -60.60302734375, 'logps/chosen': -22.222339630126953, 'logits/rejected': -2.3822178840637207, 'logits/chosen': -2.3392369747161865, 'epoch': 0.87}
{'loss': 0.3632, 'learning_rate': 8.206106096933111e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.59605407714844, 'logps/chosen': -22.827442169189453, 'logits/rejected': -2.3879635334014893, 'logits/chosen': -2.339686393737793, 'epoch': 0.9}
{'loss': 0.3545, 'learning_rate': 8.104229055469043e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.20850372314453, 'logps/chosen': -24.670490264892578, 'logits/rejected': -2.3646655082702637, 'logits/chosen': -2.320920467376709, 'epoch': 0.92}
{'loss': 0.3769, 'learning_rate': 8.000210276833491e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.35065841674805, 'logps/chosen': -23.382383346557617, 'logits/rejected': -2.3754029273986816, 'logits/chosen': -2.3341662883758545, 'epoch': 0.95}
{'loss': 0.3682, 'learning_rate': 7.894121527922762e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.24532318115234, 'logps/chosen': -25.691570281982422, 'logits/rejected': -2.3669724464416504, 'logits/chosen': -2.3252408504486084, 'epoch': 0.97}
{'loss': 0.333, 'learning_rate': 7.786036003792039e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.22026443481445, 'logps/chosen': -25.224651336669922, 'logits/rejected': -2.3544819355010986, 'logits/chosen': -2.311086654663086, 'epoch': 1.0}
{'loss': 0.3394, 'learning_rate': 7.67602827715506e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.53675079345703, 'logps/chosen': -22.402450561523438, 'logits/rejected': -2.3724889755249023, 'logits/chosen': -2.325228691101074, 'epoch': 1.02}
{'loss': 0.3548, 'learning_rate': 7.56417424693329e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.15768432617188, 'logps/chosen': -25.858028411865234, 'logits/rejected': -2.3532612323760986, 'logits/chosen': -2.3120503425598145, 'epoch': 1.04}
{'loss': 0.3665, 'learning_rate': 7.450551085890086e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.336883544921875, 'logps/chosen': -24.55019760131836, 'logits/rejected': -2.356738805770874, 'logits/chosen': -2.3124396800994873, 'epoch': 1.07}
{'loss': 0.3748, 'learning_rate': 7.33523718738599e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -61.53940963745117, 'logps/chosen': -22.684844970703125, 'logits/rejected': -2.3603053092956543, 'logits/chosen': -2.318114995956421, 'epoch': 1.09}
{'loss': 0.3638, 'learning_rate': 7.218312111291875e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.01716613769531, 'logps/chosen': -22.371414184570312, 'logits/rejected': -2.3618054389953613, 'logits/chosen': -2.3176674842834473, 'epoch': 1.12}
{'loss': 0.3722, 'learning_rate': 7.099856529097273e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -61.043067932128906, 'logps/chosen': -23.673015594482422, 'logits/rejected': -2.3338887691497803, 'logits/chosen': -2.2886674404144287, 'epoch': 1.14}
