  0%|                                                                            | 0/1233 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
 20%|█████████████▏                                                    | 246/1233 [07:42<30:44,  1.87s/it]
{'loss': 0.3114, 'learning_rate': 2.7027027027027028e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -66.93944549560547, 'logps/chosen': -22.629165649414062, 'logits/rejected': -2.346561908721924, 'logits/chosen': -2.2989933490753174, 'epoch': 0.02}
{'loss': 0.2511, 'learning_rate': 5.4054054054054056e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.6712760925293, 'logps/chosen': -23.616867065429688, 'logits/rejected': -2.3750104904174805, 'logits/chosen': -2.328691244125366, 'epoch': 0.05}
{'loss': 0.2153, 'learning_rate': 8.108108108108108e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -66.46466827392578, 'logps/chosen': -23.812143325805664, 'logits/rejected': -2.364009141921997, 'logits/chosen': -2.3160500526428223, 'epoch': 0.07}
{'loss': 0.3002, 'learning_rate': 9.999844754987455e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.28477096557617, 'logps/chosen': -23.213973999023438, 'logits/rejected': -2.357731342315674, 'logits/chosen': -2.3141582012176514, 'epoch': 0.1}
{'loss': 0.325, 'learning_rate': 9.99708511183087e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -61.31709671020508, 'logps/chosen': -21.783863067626953, 'logits/rejected': -2.3583545684814453, 'logits/chosen': -2.3153140544891357, 'epoch': 0.12}
{'loss': 0.0339, 'learning_rate': 9.990877771116587e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.47248458862305, 'logps/chosen': -21.852367401123047, 'logits/rejected': -2.3614516258239746, 'logits/chosen': -2.31794810295105, 'epoch': 0.15}
{'loss': 0.0227, 'learning_rate': 9.98122701554801e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -59.2048454284668, 'logps/chosen': -21.128358840942383, 'logits/rejected': -2.378610134124756, 'logits/chosen': -2.335446834564209, 'epoch': 0.17}
{'loss': 0.016, 'learning_rate': 9.968139503584152e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.77579879760742, 'logps/chosen': -22.006938934326172, 'logits/rejected': -2.341892957687378, 'logits/chosen': -2.2965826988220215, 'epoch': 0.19}
{'loss': 0.1306, 'learning_rate': 9.951624264845687e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.80161666870117, 'logps/chosen': -23.581741333007812, 'logits/rejected': -2.353437662124634, 'logits/chosen': -2.3082170486450195, 'epoch': 0.22}
{'loss': 0.3656, 'learning_rate': 9.931692693885035e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.85935592651367, 'logps/chosen': -24.280506134033203, 'logits/rejected': -2.385347843170166, 'logits/chosen': -2.3410184383392334, 'epoch': 0.24}
{'loss': 0.1743, 'learning_rate': 9.908358542324792e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.6595344543457, 'logps/chosen': -24.23111343383789, 'logits/rejected': -2.3431077003479004, 'logits/chosen': -2.2963502407073975, 'epoch': 0.27}
{'loss': 0.3826, 'learning_rate': 9.881637909369902e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.70287322998047, 'logps/chosen': -22.786569595336914, 'logits/rejected': -2.3627381324768066, 'logits/chosen': -2.3197968006134033, 'epoch': 0.29}
{'loss': 0.0271, 'learning_rate': 9.85154923070015e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.22700881958008, 'logps/chosen': -22.20008087158203, 'logits/rejected': -2.369938373565674, 'logits/chosen': -2.3256332874298096, 'epoch': 0.32}
{'loss': 0.2283, 'learning_rate': 9.818113265750612e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.17324829101562, 'logps/chosen': -24.089262008666992, 'logits/rejected': -2.3560376167297363, 'logits/chosen': -2.3130054473876953, 'epoch': 0.34}
{'loss': 0.2044, 'learning_rate': 9.781353083388866e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.9858283996582, 'logps/chosen': -25.53569793701172, 'logits/rejected': -2.3537747859954834, 'logits/chosen': -2.306579351425171, 'epoch': 0.36}
