  0%|                                                                            | 0/4938 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
  5%|███▎                                                              | 250/4938 [03:11<58:26,  1.34it/s]
{'loss': 0.0, 'learning_rate': 6.711409395973154e-09, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -66.5490493774414, 'logps/chosen': -25.738399505615234, 'logits/rejected': -2.3352935314178467, 'logits/chosen': -2.2900021076202393, 'epoch': 0.01}
{'loss': 0.0, 'learning_rate': 1.3422818791946309e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.66301727294922, 'logps/chosen': -22.918519973754883, 'logits/rejected': -2.325068473815918, 'logits/chosen': -2.2820358276367188, 'epoch': 0.01}
{'loss': 0.0, 'learning_rate': 2.013422818791946e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -69.89856719970703, 'logps/chosen': -21.4863224029541, 'logits/rejected': -2.371852159500122, 'logits/chosen': -2.319784641265869, 'epoch': 0.02}
{'loss': 0.0, 'learning_rate': 2.6845637583892618e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.85551834106445, 'logps/chosen': -22.82419204711914, 'logits/rejected': -2.368102788925171, 'logits/chosen': -2.321463108062744, 'epoch': 0.02}
{'loss': 0.0, 'learning_rate': 3.3557046979865774e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -66.63287353515625, 'logps/chosen': -23.46979522705078, 'logits/rejected': -2.3614628314971924, 'logits/chosen': -2.308692455291748, 'epoch': 0.03}
{'loss': 0.0, 'learning_rate': 4.026845637583892e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.28269958496094, 'logps/chosen': -21.567243576049805, 'logits/rejected': -2.3810153007507324, 'logits/chosen': -2.3320841789245605, 'epoch': 0.04}
{'loss': 0.0, 'learning_rate': 4.6979865771812075e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -65.76920318603516, 'logps/chosen': -21.60795021057129, 'logits/rejected': -2.3887391090393066, 'logits/chosen': -2.3408267498016357, 'epoch': 0.04}
{'loss': 0.0, 'learning_rate': 5.3691275167785235e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -65.83985137939453, 'logps/chosen': -22.221630096435547, 'logits/rejected': -2.3393771648406982, 'logits/chosen': -2.2888567447662354, 'epoch': 0.05}
{'loss': 0.0, 'learning_rate': 6.040268456375839e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -66.49015045166016, 'logps/chosen': -24.70989990234375, 'logits/rejected': -2.405972957611084, 'logits/chosen': -2.3522040843963623, 'epoch': 0.05}
{'loss': 0.0, 'learning_rate': 6.711409395973155e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.86424255371094, 'logps/chosen': -24.606449127197266, 'logits/rejected': -2.331047534942627, 'logits/chosen': -2.291985034942627, 'epoch': 0.06}
{'loss': 0.0, 'learning_rate': 7.38255033557047e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -67.11908721923828, 'logps/chosen': -22.147897720336914, 'logits/rejected': -2.4000823497772217, 'logits/chosen': -2.353219509124756, 'epoch': 0.07}
