  0%|                                                                            | 0/1236 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
 24%|████████████████                                                  | 300/1236 [08:13<24:55,  1.60s/it]
{'loss': 0.0, 'learning_rate': 2.6315789473684208e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -67.9513168334961, 'logps/chosen': -24.159053802490234, 'logits/rejected': -2.36348295211792, 'logits/chosen': -2.314879894256592, 'epoch': 0.02}
{'loss': 0.0, 'learning_rate': 5.2631578947368416e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -66.56884765625, 'logps/chosen': -22.982213973999023, 'logits/rejected': -2.3801395893096924, 'logits/chosen': -2.3317065238952637, 'epoch': 0.05}
{'loss': 0.0, 'learning_rate': 7.894736842105262e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -65.89027404785156, 'logps/chosen': -22.383174896240234, 'logits/rejected': -2.3638088703155518, 'logits/chosen': -2.314474105834961, 'epoch': 0.07}
{'loss': 0.0, 'learning_rate': 9.999931232202688e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.40715026855469, 'logps/chosen': -23.245407104492188, 'logits/rejected': -2.391077756881714, 'logits/chosen': -2.342216730117798, 'epoch': 0.1}
{'loss': 0.0, 'learning_rate': 9.997524557909351e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.37895965576172, 'logps/chosen': -23.489551544189453, 'logits/rejected': -2.379770040512085, 'logits/chosen': -2.3350446224212646, 'epoch': 0.12}
{'loss': 0.0, 'learning_rate': 9.991681385120514e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.15431213378906, 'logps/chosen': -23.060422897338867, 'logits/rejected': -2.3540546894073486, 'logits/chosen': -2.3078038692474365, 'epoch': 0.15}
{'loss': 0.0, 'learning_rate': 9.982405731836341e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.78564453125, 'logps/chosen': -20.776906967163086, 'logits/rejected': -2.360978603363037, 'logits/chosen': -2.3084793090820312, 'epoch': 0.17}
{'loss': 0.0, 'learning_rate': 9.969703976368368e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.06238555908203, 'logps/chosen': -22.106103897094727, 'logits/rejected': -2.3428125381469727, 'logits/chosen': -2.291612386703491, 'epoch': 0.19}
{'loss': 0.0, 'learning_rate': 9.953584852953528e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.5828857421875, 'logps/chosen': -22.481647491455078, 'logits/rejected': -2.3355329036712646, 'logits/chosen': -2.2879722118377686, 'epoch': 0.22}
{'loss': 0.0, 'learning_rate': 9.934059445748132e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.36390686035156, 'logps/chosen': -23.586557388305664, 'logits/rejected': -2.360851764678955, 'logits/chosen': -2.3145174980163574, 'epoch': 0.24}
{'loss': 0.0, 'learning_rate': 9.911141181205958e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.757423400878906, 'logps/chosen': -21.208858489990234, 'logits/rejected': -2.3344972133636475, 'logits/chosen': -2.28786563873291, 'epoch': 0.27}
{'loss': 0.0, 'learning_rate': 9.884845818845684e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.31884765625, 'logps/chosen': -21.831058502197266, 'logits/rejected': -2.400784492492676, 'logits/chosen': -2.3560166358947754, 'epoch': 0.29}
{'loss': 0.0, 'learning_rate': 9.855191440414012e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -65.89130401611328, 'logps/chosen': -22.24696159362793, 'logits/rejected': -2.3622779846191406, 'logits/chosen': -2.308574676513672, 'epoch': 0.32}
{'loss': 0.0, 'learning_rate': 9.822198437451932e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -66.26020812988281, 'logps/chosen': -22.801746368408203, 'logits/rejected': -2.3723292350769043, 'logits/chosen': -2.3236594200134277, 'epoch': 0.34}
{'loss': 0.0, 'learning_rate': 9.785889497272676e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.22419357299805, 'logps/chosen': -23.064184188842773, 'logits/rejected': -2.3610925674438477, 'logits/chosen': -2.3117377758026123, 'epoch': 0.36}
{'loss': 0.0, 'learning_rate': 9.74628958736102e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.3685188293457, 'logps/chosen': -24.36434555053711, 'logits/rejected': -2.3682167530059814, 'logits/chosen': -2.324357748031616, 'epoch': 0.39}
{'loss': 0.0, 'learning_rate': 9.703425938204626e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.156402587890625, 'logps/chosen': -23.783246994018555, 'logits/rejected': -2.359025001525879, 'logits/chosen': -2.3158328533172607, 'epoch': 0.41}
{'loss': 0.0, 'learning_rate': 9.65732802456928e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.31316375732422, 'logps/chosen': -23.4171085357666, 'logits/rejected': -2.3730547428131104, 'logits/chosen': -2.329012870788574, 'epoch': 0.44}
{'loss': 0.0, 'learning_rate': 9.608027545230846e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.26732635498047, 'logps/chosen': -22.145992279052734, 'logits/rejected': -2.364943742752075, 'logits/chosen': -2.315364360809326, 'epoch': 0.46}
{'loss': 0.0, 'learning_rate': 9.555558401177925e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -65.83010864257812, 'logps/chosen': -22.238304138183594, 'logits/rejected': -2.368927478790283, 'logits/chosen': -2.3193016052246094, 'epoch': 0.49}
