  0%|                                                                                                                                                                                       | 0/1851 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                                                                                                                                     
{'loss': 0.0, 'learning_rate': 1.7857142857142856e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -59.24277877807617, 'logps/chosen': -27.342697143554688, 'logits/rejected': -2.375000476837158, 'logits/chosen': -2.348742961883545, 'loss/value': 0.0, 'epoch': 0.02}
{'loss': 0.0, 'learning_rate': 3.571428571428571e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -60.77864456176758, 'logps/chosen': -31.109813690185547, 'logits/rejected': -2.3620152473449707, 'logits/chosen': -2.3408238887786865, 'loss/value': 0.0, 'epoch': 0.03}
{'loss': 0.0, 'learning_rate': 5.3571428571428564e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.0172233581543, 'logps/chosen': -27.779104232788086, 'logits/rejected': -2.353872776031494, 'logits/chosen': -2.320265054702759, 'loss/value': 0.0, 'epoch': 0.05}
{'loss': 0.0, 'learning_rate': 7.142857142857142e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -60.32988739013672, 'logps/chosen': -24.684560775756836, 'logits/rejected': -2.367203950881958, 'logits/chosen': -2.330510139465332, 'loss/value': 0.0, 'epoch': 0.06}
{'loss': 0.0, 'learning_rate': 8.928571428571429e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.65203094482422, 'logps/chosen': -30.167095184326172, 'logits/rejected': -2.3729138374328613, 'logits/chosen': -2.3422560691833496, 'loss/value': 0.0, 'epoch': 0.08}
{'loss': 0.0, 'learning_rate': 9.999877473773897e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.2535514831543, 'logps/chosen': -28.140060424804688, 'logits/rejected': -2.3721423149108887, 'logits/chosen': -2.3387198448181152, 'loss/value': 0.0, 'epoch': 0.1}
{'loss': 0.0, 'learning_rate': 9.998499122693791e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.296791076660156, 'logps/chosen': -29.2316951751709, 'logits/rejected': -2.359513759613037, 'logits/chosen': -2.336761236190796, 'loss/value': 0.0, 'epoch': 0.11}
{'loss': 0.0, 'learning_rate': 9.995589686359729e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -61.686279296875, 'logps/chosen': -23.513586044311523, 'logits/rejected': -2.357542037963867, 'logits/chosen': -2.316384792327881, 'loss/value': 0.0, 'epoch': 0.13}
{'loss': 0.0, 'learning_rate': 9.991150055958239e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -60.20415496826172, 'logps/chosen': -26.203357696533203, 'logits/rejected': -2.3565878868103027, 'logits/chosen': -2.3304333686828613, 'loss/value': 0.0, 'epoch': 0.15}
{'loss': 0.0, 'learning_rate': 9.985181591388057e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.80944061279297, 'logps/chosen': -25.42399024963379, 'logits/rejected': -2.3645520210266113, 'logits/chosen': -2.3300185203552246, 'loss/value': 0.0, 'epoch': 0.16}
{'loss': 0.0, 'learning_rate': 9.977686120843578e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.32093048095703, 'logps/chosen': -27.557226181030273, 'logits/rejected': -2.3688511848449707, 'logits/chosen': -2.340669631958008, 'loss/value': 0.0, 'epoch': 0.18}
