  0%|                                                                                                                                                                                       | 0/3705 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                                                                                                                                     
{'loss': 0.0, 'learning_rate': 8.928571428571428e-09, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -61.34883499145508, 'logps/chosen': -25.82611083984375, 'logits/rejected': -2.37711763381958, 'logits/chosen': -2.345423460006714, 'loss/value': 0.0, 'epoch': 0.01}
{'loss': 0.0, 'learning_rate': 1.7857142857142856e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -57.14118194580078, 'logps/chosen': -28.875192642211914, 'logits/rejected': -2.374907970428467, 'logits/chosen': -2.359508514404297, 'loss/value': 0.0, 'epoch': 0.02}
{'loss': 0.0, 'learning_rate': 2.6785714285714282e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -59.795310974121094, 'logps/chosen': -34.2335090637207, 'logits/rejected': -2.3601627349853516, 'logits/chosen': -2.3570713996887207, 'loss/value': 0.0, 'epoch': 0.02}
{'loss': 0.0, 'learning_rate': 3.571428571428571e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -61.76750564575195, 'logps/chosen': -27.98844337463379, 'logits/rejected': -2.3667609691619873, 'logits/chosen': -2.3387744426727295, 'loss/value': 0.0, 'epoch': 0.03}
{'loss': 0.0, 'learning_rate': 4.4642857142857145e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.97370147705078, 'logps/chosen': -25.334705352783203, 'logits/rejected': -2.356640577316284, 'logits/chosen': -2.3168158531188965, 'loss/value': 0.0, 'epoch': 0.04}
{'loss': 0.0, 'learning_rate': 5.3571428571428564e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -60.06219482421875, 'logps/chosen': -30.224878311157227, 'logits/rejected': -2.351872444152832, 'logits/chosen': -2.3339836597442627, 'loss/value': 0.0, 'epoch': 0.05}
{'loss': 0.0, 'learning_rate': 6.25e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -60.369178771972656, 'logps/chosen': -24.227991104125977, 'logits/rejected': -2.365405321121216, 'logits/chosen': -2.3325603008270264, 'loss/value': 0.0, 'epoch': 0.06}
{'loss': 0.0, 'learning_rate': 7.142857142857142e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -60.293670654296875, 'logps/chosen': -25.147846221923828, 'logits/rejected': -2.3674533367156982, 'logits/chosen': -2.3372020721435547, 'loss/value': 0.0, 'epoch': 0.06}
{'loss': 0.0, 'learning_rate': 8.035714285714286e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.292274475097656, 'logps/chosen': -27.8714599609375, 'logits/rejected': -2.3670151233673096, 'logits/chosen': -2.3457908630371094, 'loss/value': 0.0, 'epoch': 0.07}
{'loss': 0.0, 'learning_rate': 8.928571428571429e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.015541076660156, 'logps/chosen': -32.46668243408203, 'logits/rejected': -2.380466938018799, 'logits/chosen': -2.362605333328247, 'loss/value': 0.0, 'epoch': 0.08}
{'loss': 0.0, 'learning_rate': 9.82142857142857e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.815574645996094, 'logps/chosen': -27.106616973876953, 'logits/rejected': -2.3609156608581543, 'logits/chosen': -2.327437162399292, 'loss/value': 0.0, 'epoch': 0.09}
{'loss': 0.0, 'learning_rate': 9.999877678295869e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.7049446105957, 'logps/chosen': -29.1892032623291, 'logits/rejected': -2.389008045196533, 'logits/chosen': -2.3627800941467285, 'loss/value': 0.0, 'epoch': 0.1}
